Gender,Parental Education Level,Your Interest,Test Preparation,Hours Studied,Attendance,Class Group,Performance
Male,Associate Degree,Reading and Literature,Completed,2.4,85.5,D,Average
Female,Master’s Degree,Music,Completed,3.9,81.8,E,Good
Female,Doctorate,Reading and Literature,Completed,4.0,75.3,A,Good
Female,Associate Degree,Arts & Creativity,None,3.9,69.8,E,Average
Female,Doctorate,Arts & Creativity,Completed,4.1,80.4,C,Good
Male,Doctorate,Arts & Creativity,Completed,3.3,71.9,B,Average
Female,Some College,Technology and Computers,Completed,4.3,80.2,A,Good
Male,High School,Sports & Athletics,Completed,5.9,76.1,B,Excellent
Female,Doctorate,Technology and Computers,Completed,3.7,70.6,E,Average
Female,Doctorate,Arts & Creativity,None,4.7,87.0,E,Excellent
Male,Master’s Degree,Music,None,4.0,60.1,D,Average
